Year,inactive,MF,MR,not.tagged,Seedling,SF,SR,Recruitment,Total,Prop.inactive,Prop.MF,Prop.MR,Prop.Seedling,Prop.SF,Prop.SR,Prop.Rec,Plot,Site
2000,4,0,0,0,0,1,26,9,31,12.903225806451612,0,0,0,3.225806451612903,83.87096774193549,29.03225806451613,UNL,Niobrara
2001,4,0,0,0,13,1,22,20,40,10,0,0,32.5,2.5,55.00000000000001,50,UNL,Niobrara
2002,0,0,4,0,0,2,33,13,39,0,0,10.256410256410255,0,5.128205128205128,84.61538461538461,33.33333333333333,UNL,Niobrara
2003,1,1,1,0,4,4,29,18,40,2.5,2.5,2.5,10,10,72.5,45,UNL,Niobrara
2004,0,0,0,0,1,1,29,10,31,0,0,0,3.225806451612903,3.225806451612903,93.54838709677419,32.25806451612903,UNL,Niobrara
2005,2,0,1,0,13,6,28,32,50,4,0,2,26,12,56.00000000000001,64,UNL,Niobrara
2006,0,1,1,0,1,1,53,30,57,0,1.7543859649122806,1.7543859649122806,1.7543859649122806,1.7543859649122806,92.98245614035088,52.63157894736842,UNL,Niobrara
2007,0,2,1,3,9,1,54,42,67,0,2.9850746268656714,1.4925373134328357,13.432835820895523,1.4925373134328357,80.59701492537313,62.68656716417911,UNL,Niobrara
2008,0,0,0,40,4,0,67,57,71,0,0,0,5.633802816901409,0,94.36619718309859,80.28169014084507,UNL,Niobrara
2009,0,0,0,91,0,7,58,49,65,0,0,0,0,10.76923076923077,89.23076923076924,75.38461538461539,UNL,Niobrara
1990,0,0,0,0,11,1,54,NA,66,0,0,0,16.666666666666664,1.5151515151515151,81.81818181818183,NA,UNM,Niobrara
1991,1,0,2,0,10,0,49,17,62,1.6129032258064515,0,3.225806451612903,16.129032258064516,0,79.03225806451613,27.419354838709676,UNM,Niobrara
1992,1,0,3,0,11,1,59,29,75,1.3333333333333335,0,4,14.666666666666666,1.3333333333333335,78.66666666666666,38.666666666666664,UNM,Niobrara
1993,3,0,1,0,3,0,48,13,55,5.454545454545454,0,1.8181818181818181,5.454545454545454,0,87.27272727272727,23.636363636363637,UNM,Niobrara
1994,3,0,1,0,7,2,51,25,64,4.6875,0,1.5625,10.9375,3.125,79.6875,39.0625,UNM,Niobrara
1995,0,0,5,0,6,0,63,22,74,0,0,6.756756756756757,8.108108108108109,0,85.13513513513513,29.72972972972973,UNM,Niobrara
1996,0,0,4,0,2,1,67,12,74,0,0,5.405405405405405,2.7027027027027026,1.3513513513513513,90.54054054054053,16.216216216216218,UNM,Niobrara
1997,3,0,6,0,9,0,63,35,81,3.7037037037037033,0,7.4074074074074066,11.11111111111111,0,77.77777777777779,43.20987654320987,UNM,Niobrara
1998,0,0,3,0,0,0,71,17,74,0,0,4.054054054054054,0,0,95.94594594594594,22.972972972972975,UNM,Niobrara
1999,0,0,6,0,1,0,58,18,65,0,0,9.230769230769232,1.5384615384615385,0,89.23076923076924,27.692307692307693,UNM,Niobrara
2000,2,0,4,0,1,0,44,4,51,3.9215686274509802,0,7.8431372549019605,1.9607843137254901,0,86.27450980392157,7.8431372549019605,UNM,Niobrara
2001,9,0,1,0,3,1,29,11,43,20.930232558139537,0,2.3255813953488373,6.976744186046512,2.3255813953488373,67.44186046511628,25.581395348837212,UNM,Niobrara
2002,3,0,4,0,0,0,47,18,54,5.555555555555555,0,7.4074074074074066,0,0,87.03703703703704,33.33333333333333,UNM,Niobrara
2003,3,0,3,0,1,2,37,8,46,6.521739130434782,0,6.521739130434782,2.1739130434782608,4.3478260869565215,80.43478260869566,17.391304347826086,UNM,Niobrara
2004,0,0,3,0,1,0,21,9,25,0,0,12,4,0,84,36,UNM,Niobrara
2005,0,0,1,0,0,4,23,13,28,0,0,3.571428571428571,0,14.285714285714285,82.14285714285714,46.42857142857143,UNM,Niobrara
2006,1,0,1,0,0,2,29,12,33,3.0303030303030303,0,3.0303030303030303,0,6.0606060606060606,87.87878787878788,36.36363636363637,UNM,Niobrara
2007,1,0,3,0,2,4,44,35,54,1.8518518518518516,0,5.555555555555555,3.7037037037037033,7.4074074074074066,81.48148148148148,64.81481481481481,UNM,Niobrara
2008,1,0,0,33,1,0,39,32,41,2.4390243902439024,0,0,2.4390243902439024,0,95.1219512195122,78.04878048780488,UNM,Niobrara
2009,0,0,4,65,0,0,70,68,74,0,0,5.405405405405405,0,0,94.5945945945946,91.8918918918919,UNM,Niobrara
1990,0,1,6,0,1,6,53,NA,67,0,1.4925373134328357,8.955223880597014,1.4925373134328357,8.955223880597014,79.1044776119403,NA,UAC,Arapaho
1991,8,0,0,0,3,12,52,26,75,10.666666666666668,0,0,4,16,69.33333333333334,34.66666666666667,UAC,Arapaho
1992,3,3,1,0,1,23,48,33,79,3.79746835443038,3.79746835443038,1.2658227848101267,1.2658227848101267,29.11392405063291,60.75949367088608,41.77215189873418,UAC,Arapaho
1993,0,3,4,0,20,38,142,164,207,0,1.4492753623188406,1.932367149758454,9.66183574879227,18.357487922705314,68.59903381642512,79.22705314009661,UAC,Arapaho
1994,1,2,8,0,93,24,117,144,245,0.40816326530612246,0.8163265306122449,3.2653061224489797,37.95918367346939,9.795918367346939,47.755102040816325,58.77551020408164,UAC,Arapaho
1995,2,0,8,0,15,13,117,66,155,1.2903225806451613,0,5.161290322580645,9.67741935483871,8.38709677419355,75.48387096774194,42.58064516129032,UAC,Arapaho
1996,3,1,1,0,6,8,131,58,150,2,0.6666666666666667,0.6666666666666667,4,5.333333333333334,87.33333333333333,38.666666666666664,UAC,Arapaho
1997,4,0,4,0,0,1,114,34,123,3.2520325203252036,0,3.2520325203252036,0,0.8130081300813009,92.6829268292683,27.64227642276423,UAC,Arapaho
1998,0,0,4,0,2,4,81,21,91,0,0,4.395604395604396,2.197802197802198,4.395604395604396,89.01098901098901,23.076923076923077,UAC,Arapaho
1999,0,1,2,0,1,6,74,23,84,0,1.1904761904761905,2.380952380952381,1.1904761904761905,7.142857142857142,88.09523809523809,27.380952380952383,UAC,Arapaho
2000,1,0,3,0,1,8,75,23,88,1.1363636363636365,0,3.4090909090909087,1.1363636363636365,9.090909090909092,85.22727272727273,26.136363636363637,UAC,Arapaho
2001,1,1,5,0,9,17,68,48,101,0.9900990099009901,0.9900990099009901,4.9504950495049505,8.91089108910891,16.831683168316832,67.32673267326733,47.524752475247524,UAC,Arapaho
2002,0,0,14,0,0,0,91,49,105,0,0,13.333333333333334,0,0,86.66666666666667,46.666666666666664,UAC,Arapaho
2003,2,0,1,0,3,5,63,21,74,2.7027027027027026,0,1.3513513513513513,4.054054054054054,6.756756756756757,85.13513513513513,28.37837837837838,UAC,Arapaho
2004,0,0,0,0,7,1,49,27,57,0,0,0,12.280701754385964,1.7543859649122806,85.96491228070175,47.368421052631575,UAC,Arapaho
2005,4,1,1,0,0,0,62,32,68,5.88235294117647,1.4705882352941175,1.4705882352941175,0,0,91.17647058823529,47.05882352941176,UAC,Arapaho
2006,3,0,1,0,0,6,39,12,49,6.122448979591836,0,2.0408163265306123,0,12.244897959183673,79.59183673469387,24.489795918367346,UAC,Arapaho
2007,3,0,2,0,0,0,48,20,53,5.660377358490567,0,3.7735849056603774,0,0,90.56603773584906,37.735849056603776,UAC,Arapaho
2008,1,0,0,14,3,0,46,27,50,2,0,0,6,0,92,54,UAC,Arapaho
