Year,Month,ppt (mm),tmean (degrees C),PET,spei_1,spei_12,Site,Wat.Bal,spei1_RP,spei12_RP,ppt.anomaly,tmean.anomaly
1957,4,63.92,5.7,24.83357763486698,1.1083764939388867,-0.8849759732217856,Arapaho,39.08642236513302,1.2578635492748587,-0.8740117479731903,27.05225,-2.910417
1957,5,150.87,12.5,69.8150932256386,1.9044846578298817,0.5279729839837001,Arapaho,81.0549067743614,1.7987344116294228,0.515305059963555,114.00225,3.889583
1957,6,83.94,18.2,109.4018701142405,0.5029122552624269,0.886763432790226,Arapaho,-25.461870114240497,0.5919324015309606,1.0018445307320802,47.07225,9.589583
1957,7,93.29,23.8,151.76971996437481,0.47507594381497786,0.9298493855216795,Arapaho,-58.47971996437481,0.49913070598136006,1.1052954099805963,56.422250000000005,15.189583
1957,8,53.25,22.6,132.7879908849506,0.027522120706668842,0.8094862227625748,Arapaho,-79.5379908849506,0.19862951766232073,1.0162911309599265,16.38225,13.989583000000001
1957,9,26.4,14.9,71.05780930794374,-0.06977967835095075,1.1024383650407186,Arapaho,-44.657809307943744,0.05497524825637149,1.3579867108814372,-10.467750000000002,6.289583
1957,10,46.9,8.8,35.247219906837834,1.076763365472466,1.4351334276964065,Arapaho,11.652780093162164,1.4690092317584449,1.670497697326653,10.032249999999998,0.18958300000000072
1957,11,7.02,1.6,4.172567382837593,-0.21536842915554688,1.2739069035718098,Arapaho,2.847432617162407,-0.2050715200700404,1.5220432747176738,-29.84775,-7.010417
1957,12,6.23,1.3,3.1674222361871758,-0.7919627553663348,1.2647047796553639,Arapaho,3.0625777638128246,-1.0536684043559181,1.4721402866139408,-30.63775,-7.310417
1958,1,1.74,-1.9,0,-1.1425901062348722,1.3669871943990801,Arapaho,1.74,-1.1297934312209479,1.406375862870137,-35.12775,-10.510417
1958,2,15.22,-2.5,0,0.8839891796297844,1.4792813086013752,Arapaho,15.22,0.7502613273524336,1.5076040222749596,-21.647750000000002,-11.110417
1958,3,34.42,-3.9,0,1.1512636746456193,1.6011820289363954,Arapaho,34.42,1.0484634035827929,1.5983281213828844,-2.447749999999999,-12.510417
1958,4,59.09,6.4,28.4067675767742,0.8430361105976889,1.586580670023159,Arapaho,30.683232423225803,0.9826009048384186,1.5951677813244407,22.222250000000003,-2.2104169999999996
1958,5,63.55,16.3,95.0028961124531,-0.9173533002412836,0.5280090214752924,Arapaho,-31.452896112453104,-1.035697775140553,0.5153443051979092,26.682249999999996,7.689583000000001
1958,6,103.63,18.4,110.79835385799036,0.8949742025386198,0.6471071545999711,Arapaho,-7.168353857990368,0.9903204507204816,0.6917302967872866,66.76225,9.789582999999999
1958,7,139.59,20.3,126.1862416358783,2.025530014191382,1.3099223170953398,Arapaho,13.4037583641217,2.0345253447281935,1.618362413533962,102.72225,11.689583
1958,8,45.38,22.6,132.7879908849506,-0.293843484063201,1.2635127367183054,Arapaho,-87.4079908849506,-0.15173810753837072,1.687299089643436,8.512250000000002,13.989583000000001
1958,9,28.22,17.2,83.93907375021591,-0.4923438397381328,1.1232602183820577,Arapaho,-55.71907375021591,-0.36325298406871165,1.3829771834897486,-8.647750000000002,8.589583
1958,10,10.31,10.5,43.266139923733036,-1.0994187131625814,0.7645926649057709,Arapaho,-32.95613992373303,-0.9710368909973297,0.8814781451245199,-26.55775,1.889583
1958,11,7.75,2.8,7.988507046807798,-0.5002647302071186,0.725043229820862,Arapaho,-0.23850704680779788,-0.5021026356277126,0.8415544014672145,-29.11775,-5.810417
1958,12,15.84,-2.6,0,1.1711123880458298,0.8342557369178747,Arapaho,15.84,1.144061541327173,0.9424295608029927,-21.02775,-11.210417
1959,1,8.12,-3.4,0,0.16216036491873878,0.9677323546442861,Arapaho,8.12,0.17659380629193702,0.979340417105348,-28.747750000000003,-12.010417
1959,2,10.5,-4.1,0,0.41623772918461455,0.9200671049991967,Arapaho,10.5,0.3115247146723098,0.9296179055321636,-26.36775,-12.710417
1959,3,43.11,2.2,7.547748716738805,1.2011045087162138,0.9408313026557875,Arapaho,35.5622512832612,1.0973695242801986,0.936450530447164,6.2422499999999985,-6.410417
1959,4,17.56,7.5,34.14784184633962,-0.9989349097126254,0.43011962951192756,Arapaho,-16.587841846339618,-0.9188135274332889,0.4005844279830261,-19.307750000000002,-1.110417
1959,5,87.01,13.4,75.68197102221642,0.3228969345823811,0.9026624156059578,Arapaho,11.328028977783589,0.17506111893021986,0.9301930851225395,50.142250000000004,4.789583
